Country,Year,CO2 per KWh
Iceland,1965,200.5
Iceland,1966,204.4
Iceland,1967,199.2
Iceland,1968,201.5
Iceland,1969,184.4
Iceland,1970,155.1
Iceland,1971,155.1
Iceland,1972,152.7
Iceland,1973,144.7
Iceland,1974,139
Iceland,1975,136
Iceland,1976,133.7
Iceland,1977,131.3
Iceland,1978,134
Iceland,1979,127.7
Iceland,1980,119.3
Iceland,1981,116.8
Iceland,1982,104.3
Iceland,1983,102.7
Iceland,1984,104.5
Iceland,1985,105.6
Iceland,1986,103.3
Iceland,1987,103.8
Iceland,1988,103.1
Iceland,1989,106.9
Iceland,1990,107.1
Iceland,1991,104
Iceland,1992,104.8
Iceland,1993,104.9
Iceland,1994,104.7
Iceland,1995,103.4
Iceland,1996,108.1
Iceland,1997,102.2
Iceland,1998,94.7
Iceland,1999,87.8
Iceland,2000,86.9
Iceland,2001,82
Iceland,2002,82.1
Iceland,2003,82.8
Iceland,2004,84.1
Iceland,2005,83.9
Iceland,2006,77.8
Iceland,2007,70.5
Iceland,2008,51.7
Iceland,2009,48.4
Iceland,2010,46.9
Iceland,2011,46.5
Iceland,2012,46
Iceland,2013,47.4
Iceland,2014,48.1
Iceland,2015,49.7
Iceland,2016,55
Iceland,2017,57.9
Iceland,2018,57.8
Iceland,2019,53.4
Norway,1965,85.8
Norway,1966,91.7
Norway,1967,88
Norway,1968,86.1
Norway,1969,93.9
Norway,1970,100
Norway,1971,94.3
Norway,1972,93.7
Norway,1973,88.8
Norway,1974,82.5
Norway,1975,83.4
Norway,1976,85.8
Norway,1977,92.5
Norway,1978,87.5
Norway,1979,85.4
Norway,1980,82.8
Norway,1981,74.3
Norway,1982,72.1
Norway,1983,65.6
Norway,1984,64.8
Norway,1985,68.8
Norway,1986,76.3
Norway,1987,70.6
Norway,1988,67.6
Norway,1989,64.4
Norway,1990,61.2
Norway,1991,62.5
Norway,1992,62.8
Norway,1993,62.7
Norway,1994,68.7
Norway,1995,64.9
Norway,1996,76.5
Norway,1997,75.5
Norway,1998,74.5
Norway,1999,72
Norway,2000,61.2
Norway,2001,72.2
Norway,2002,68.2
Norway,2003,80.2
Norway,2004,79.8
Norway,2005,68.3
Norway,2006,74.9
Norway,2007,69.5
Norway,2008,66.8
Norway,2009,72.3
Norway,2010,76.3
Norway,2011,74.4
