Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,190.3,186.7,187.6,190.2,186.5,187.4,185.3,180.3,177.2,174.7,176.3,174.9,175.1,167.4,165.0,165.6,160.1,160.7,154.5,152.5,146.1,141.5,141.3,145.9,151.0,149.0,142.9,143.8,139.2,138.7,140.9,139.9,143.1,149.3,146.4,148.3,151.4,149.9,152.5,149.0,147.7,145.5,147.0,145.9,142.4,146.7,143.2,140.7,141.1,142.0,140.5,138.9,140.1,141.9,140.9
Mexico,213.0,210.7,211.9,210.7,210.4,209.7,211.9,213.5,213.8,217.9,221.2,220.2,220.3,220.3,217.5,219.3,211.5,212.8,211.7,210.4,207.1,210.1,211.7,211.1,210.7,211.2,210.4,209.0,210.9,216.0,210.4,211.8,217.5,219.4,214.7,217.3,219.1,223.8,222.7,221.3,221.8,220.6,220.6,217.4,219.8,218.0,218.9,221.4,220.0,215.0,216.9,216.8,217.5,214.4,212.1
United States of America,238.9,238.9,237.0,236.5,234.4,233.7,231.2,231.2,231.8,229.4,228.5,230.1,231.7,228.9,230.6,231.0,230.6,228.2,227.9,226.4,227.5,226.7,226.5,226.6,225.3,220.9,219.1,219.4,219.8,219.1,215.8,216.0,217.4,217.6,215.7,217.2,219.0,216.7,218.5,218.1,219.2,218.1,218.4,216.9,211.7,212.4,208.6,204.3,205.2,203.3,200.9,197.3,194.3,192.7,188.8
Total North America,234.4,234.0,232.3,232.1,229.8,229.1,226.7,226.2,226.3,223.8,223.2,224.3,225.6,222.3,223.4,223.4,222.1,220.0,219.1,217.4,217.2,216.2,216.1,216.7,216.2,212.5,210.2,210.5,210.4,209.8,207.1,207.2,209.0,210.1,207.9,209.5,211.4,209.5,211.2,210.4,211.3,210.0,210.3,208.6,204.2,205.2,201.5,197.8,198.4,196.6,194.5,191.5,189.2,187.9,184.5
Argentina,246.9,245.9,245.6,244.3,243.7,239.1,238.2,238.1,236.3,231.4,227.2,227.6,228.7,223.4,220.3,213.3,210.7,206.5,202.5,196.2,191.5,199.4,199.6,205.5,207.4,197.6,198.8,196.4,189.9,186.6,185.1,188.3,180.8,183.0,186.9,181.9,170.9,170.6,172.7,178.0,178.0,175.6,183.5,184.5,181.3,185.2,184.7,186.5,186.7,187.6,186.8,187.0,184.5,183.4,181.8
Brazil,191.3,191.2,190.6,195.8,195.4,190.4,191.3,186.6,186.8,184.5,182.3,178.2,174.1,170.5,164.9,161.1,157.3,150.4,142.9,138.8,135.9,138.1,138.2,135.5,135.5,132.0,133.2,133.7,134.4,133.5,134.9,137.5,136.3,136.4,135.4,135.1,142.0,138.8,135.1,134.9,134.1,133.0,130.7,133.5,126.5,130.6,132.9,136.4,143.3,146.2,143.3,136.0,136.4,131.2,128.1
Chile,231.0,231.2,230.9,237.5,233.8,233.6,231.1,223.6,224.6,217.7,209.6,210.0,209.3,210.1,210.7,209.3,208.0,193.8,190.6,193.6,187.4,184.9,182.3,193.0,211.0,206.2,190.0,175.3,176.8,183.2,185.3,196.8,198.4,202.6,201.1,183.7,174.2,173.0,174.0,180.4,177.4,176.6,202.0,206.3,202.4,206.1,216.9,217.9,220.0,217.6,214.1,215.8,210.5,204.4,200.8
Colombia,241.4,239.7,238.0,233.8,230.8,231.1,222.7,222.1,216.7,218.5,216.5,215.0,214.8,208.4,205.9,201.3,202.4,200.8,203.3,199.0,197.3,189.4,192.5,185.1,185.0,170.1,173.9,196.5,187.4,184.1,182.7,174.2,184.1,185.4,174.0,178.3,174.6,167.4,167.6,163.2,159.6,171.5,167.4,174.0,176.4,183.6,172.4,180.2,186.1,188.6,188.8,189.6,174.9,174.9,188.3
Ecuador,240.2,237.3,235.9,238.6,238.3,236.8,235.4,227.5,239.1,228.0,226.5,239.0,243.0,237.0,239.9,236.8,233.8,231.7,218.6,207.9,212.4,206.0,200.8,207.6,203.9,207.4,211.6,213.4,206.3,204.1,212.0,210.7,215.9,214.4,206.0,197.2,200.3,197.4,195.0,204.8,211.1,211.5,203.6,194.9,202.0,209.3,202.1,199.8,206.1,206.5,202.5,192.1,179.7,183.4,172.2
Peru,223.7,225.9,223.3,221.8,220.0,223.6,214.1,207.1,210.9,214.6,213.1,210.4,209.4,207.9,207.5,208.8,203.8,201.5,197.4,194.7,189.8,188.8,189.4,192.0,186.6,185.9,178.7,189.0,180.0,179.0,184.7,187.5,188.1,184.5,183.0,178.7,169.6,170.3,167.3,177.3,176.5,166.9,173.4,178.2,174.5,176.8,181.4,178.0,178.2,177.1,178.3,181.7,170.8,168.4,166.5
Trinidad & Tobago,227.9,223.7,222.1,221.3,222.5,217.5,218.7,229.9,229.7,223.9,213.2,217.3,209.6,194.2,183.4,178.8,189.3,166.8,154.6,142.4,142.1,148.2,137.1,130.6,128.1,138.7,130.9,144.2,138.0,123.7,126.6,117.0,107.2,100.5,109.1,111.1,109.5,114.5,116.1,111.2,104.1,103.6,110.5,113.6,106.1,107.6,107.8,109.4,113.0,112.5,109.5,111.7,102.9,102.9,101.5
