Country,g/kwh (2019)
Canada,140.1034606
Mexico,217.4706721
US,194.3228527
Total North America,189.2303977
Argentina,184.5032128
Brazil,136.4444803
Chile,210.5285108
Colombia,174.9200674
Ecuador,179.7156136
Peru,170.7562954
Trinidad & Tobago,102.9279986
Venezuela,179.9583733
Central America,192.443717
Other Caribbean,247.6812427
Other South America,106.8663397
Total S. & Cent. America,162.227662
Austria,158.7655803
Belgium,165.4225113
Bulgaria,213.0655072
Croatia,183.6012948
Cyprus,255.6773513
Czech Republic,214.4579234
Denmark,180.6033868
Estonia,311.0208874
Finland,143.4129392
France,118.0582619
Germany,198.7381383
Greece,236.2381286
Hungary,174.2308124
Iceland,57.8594119
Ireland,217.7634222
Italy,184.8422839
Latvia,168.3685384
Lithuania,174.5324179
Luxembourg,233.6290143
Netherlands,206.8237686
North Macedonia,258.3876545
Norway,63.88688686
Poland,263.1967483
Portugal,193.6701171
Romania,189.7890483
Slovakia,171.4962652
Slovenia,174.2638698
Spain,188.0538136
Sweden,74.65923471
Switzerland,125.7542456
Turkey,224.331946
Ukraine,193.5361317
United Kingdom,182.0511835
Other Europe,243.0911793
Total Europe,182.8714529
Azerbaijan,193.3642168
Belarus,199.383017
Kazakhstan,276.4431494
Russian Federation,185.3922971
Turkmenistan,215.1508215
Uzbekistan,196.3014365
Other CIS,138.1849094
Total CIS,193.4312463
Iran,195.0920286
Iraq,246.0606584
Israel,235.5565614
Kuwait,216.1296221
Oman,207.4685222
Qatar,181.6880743
Saudi Arabia,193.9609552
United Arab Emirates,214.3169835
Other Middle East,220.0114613
Total Middle East,203.0363858
Algeria,209.5887471
Egypt,204.9309551
Morocco,258.3520994
South Africa,319.2969238
Eastern Africa,185.2209963
Middle Africa,180.2986116
Western Africa,213.6457371
Other Northern Africa,234.9241077
Other Southern Africa,254.4230776
Total Africa,239.6319399
Australia,251.186399
Bangladesh,217.5304297
China,255.8458699
China Hong Kong SAR,275.2334948
India,267.6706504
Indonesia,250.5292311
Japan,226.2995312
Malaysia,203.4204275
New Zealand,148.5351644
Pakistan,202.5695592
Philippines,243.8234748
Singapore,229.6628473
South Korea,187.7251465
Sri Lanka,238.634704
Taiwan,213.3099477
Thailand,197.5050649
Vietnam,212.8196122
Other Asia Pacific,209.1297292
Total Asia Pacific,245.2890107
Total World,213.7786519
of which: OECD,190.9986922
                 Non-OECD,229.8515442
                 European Union #,181.6290243
