Electricity generation by fuel*,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,2018,,,,,,,,2019,,
Terawatt-hours,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Other#,Total,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Other#,Total,,
,,,,,,,,,,,,,,,,,,
Canada,3.8,64.1,50.6,100.0,385.9,47.1,0.7,652.3,4.1,69.3,54.6,100.5,382.0,49.3,0.7,660.4,,
Mexico,35.7,194.6,29.0,13.6,32.5,23.3,20.6,349.3,37.7,205.6,26.3,11.3,23.8,37.8,21.6,364.0,,
US,27.1,1579.3,1246.7,849.6,289.5,451.6,13.6,4457.4,20.0,1700.9,1053.5,852.0,271.2,489.8,14.0,4401.3,,
Total North America,66.7,1838.0,1326.3,963.2,707.9,522.0,34.9,5459.0,61.8,1975.8,1134.4,963.7,676.9,576.9,36.2,5425.7,,
,,,,,,,,,,,,,,,,,,
Argentina,6.7,84.9,2.1,6.9,41.6,4.0,0.5,146.8,2.8,82.3,0.7,8.4,37.1,8.2,0.5,139.9,,
Brazil,12.2,54.6,23.7,15.7,389.0,106.3,-,601.4,7.9,58.9,25.7,16.2,399.3,117.7,-,625.6,,
Other S. & Cent. America,95.1,104.0,44.6,-,287.6,51.6,-0.1,582.8,75.6,103.8,47.8,-,278.3,58.3,-0.1,563.8,,
Total S. & Cent. America,113.9,243.5,70.4,22.5,718.2,161.9,0.5,1331.0,86.3,245.0,74.3,24.6,714.7,184.1,0.4,1329.3,,
,,,,,,,,,,,,,,,,,,
Germany,5.2,82.5,228.2,76.0,18.0,206.8,26.8,643.5,5.1,91.0,171.2,75.1,20.2,224.1,25.7,612.4,,
Italy,11.0,128.5,31.0,-,47.1,65.6,6.5,289.7,10.2,126.5,29.7,-,45.1,67.6,4.7,283.8,,
Netherlands,1.3,57.7,27.5,3.5,0.1,18.8,5.6,114.5,1.4,71.0,17.4,3.9,0.1,22.3,5.0,121.0,,
Poland,1.8,12.6,133.3,-,2.0,19.6,0.7,170.0,1.2,14.8,121.9,-,2.0,23.1,1.0,163.9,,
Spain,14.5,58.0,38.7,55.8,34.8,69.8,2.9,274.5,13.4,86.0,13.1,58.4,25.2,77.5,2.1,275.8,,
Turkey,0.3,92.5,113.2,-,59.9,37.8,1.0,304.8,0.2,58.1,114.6,-,89.2,45.3,1.1,308.5,,
Ukraine,0.7,9.0,52.1,84.4,10.4,2.5,0.7,159.9,0.2,9.2,48.3,83.0,6.8,5.0,1.9,154.5,,
United Kingdom,1.7,131.5,16.8,65.1,5.5,104.5,7.8,332.9,1.0,132.5,6.9,56.2,6.0,113.4,7.8,323.7,,
Other Europe,19.5,157.5,215.8,651.1,467.5,230.8,35.2,1777.5,19.0,179.1,175.6,651.9,438.0,258.3,27.9,1749.7,,
Total Europe,56.1,729.9,856.6,935.8,645.3,756.3,87.1,4067.2,51.8,768.1,698.6,928.5,632.5,836.6,77.2,3993.3,,
,,,,,,,,,,,,,,,,,,
Kazakhstan,0.8,20.7,79.6,-,10.4,0.5,-4.7,107.3,0.8,20.8,78.1,-,10.0,0.8,-2.1,108.4,,
Russian Federation,6.8,511.1,190.3,204.6,190.6,1.4,4.4,1109.2,6.9,519.5,182.2,209.0,194.4,1.8,4.3,1118.1,,
Other CIS,0.9,148.6,4.1,2.1,43.3,0.6,0.3,199.9,0.9,152.7,4.0,2.2,44.0,0.7,0.1,204.5,,
Total CIS,8.5,680.4,274.0,206.7,244.3,2.5,-^,1416.3,8.6,693.0,264.2,211.2,248.4,3.3,2.3,1431.0,,
,,,,,,,,,,,,,,,,,,
Iran,86.0,209.0,0.6,6.9,11.4,0.5,-,314.4,82.6,199.5,0.6,6.4,29.0,0.6,-,318.7,,
Saudi Arabia,158.8,200.0,-,-,-,0.4,-,359.2,149.6,206.0,-,-,-,1.8,-,357.4,,
